"Street","Description","Barangay","City","Province","Classification","Zonal Value"
"A C CORTES AVE","FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","42,530.00"
"A C CORTES AVE","FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","42,000.00"
"A C CORTES AVE","FRM BOUNDARY OF BRGY. IBABAO (P. BURGOS ST.)   TO PLARIDEL ST.","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","36,750.00"
"A C CORTES AVE","INTERIOR W/CAR ACCESS","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"P. BURGOS STREET","F. MENDOZA ST. TO G OUANO ST.","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","21,540.00"
"P. BURGOS STREET","F. MENDOZA ST. TO G OUANO ST.","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,780.00"
"P. BURGOS STREET","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,800.00"
"F. MENDOZA ST.","P. BURGOS ST. TO BRIONES ST.","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","21,200.00"
"F. MENDOZA ST.","P. BURGOS ST. TO BRIONES ST.","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,150.00"
"F. MENDOZA ST.","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,400.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","42,530.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","26,250.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","FRM . F. MENDOZA ST. TO   A.C. CORTES AVENUE","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","36,750.00"
"J. BRIONES ST. (FORMERLY PLARIDEL ST.)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,540.00"
"S. OUANO ST (FORMERLY G.  OUANO STREET)","BURGOS-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","26,750.00"
"S. OUANO ST (FORMERLY G.  OUANO STREET)","BURGOS-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","25,200.00"
"S. OUANO ST (FORMERLY G.  OUANO STREET)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,280.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","63,000.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","23,100.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,600.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","RIZAL-BURGOS","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,900.00"
"R. COLINA ST (FORMERLY LIBERTAD STREET)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,500.00"
"PLARIDEL STREET","A.C. CORTES AVE. TO BUTUANON RIVER","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","42,530.00"
"PLARIDEL STREET","A.C. CORTES AVE. TO BUTUANON RIVER","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","36,750.00"
"PLARIDEL STREET","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,600.00"
"M. FERNAN ST. (U.N. AVENUE)","PACIFIC MALL TO MARCELO FERNAN BRIDGE","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","63,000.00"
"M. FERNAN ST. (U.N. AVENUE)","PACIFIC MALL TO MARCELO FERNAN BRIDGE","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","47,250.00"
"M. FERNAN ST. (U.N. AVENUE)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","14,400.00"
"SANCHEZ STREET","S.B. CABAHUG ST.-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","52,140.00"
"SANCHEZ STREET","S.B. CABAHUG ST.-PLARIDEL","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","21,700.00"
"SANCHEZ STREET","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,540.00"
"SITIO LIONG","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","21,540.00"
"SITIO LIONG","","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","18,660.00"
"SITIO LIONG","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,140.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","125,000.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","25,840.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","24,150.00"
"MARCIANO QUEZON (FORMERLY P. BURGOS STREET)","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,650.00"
"ALL OTHERS STREETS","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL REGULAR","15,420.00"
"ALL OTHERS STREETS","","ALANG-ALANG","MANDAUE","CEBU","INDUSTRIAL","10,400.00"
"ALL OTHERS STREETS","INTERIOR","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","6,400.00"
"SILVER SEA SUBDIVISION","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,090.00"
"ALL OTHER SUBDIVISIONS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,550.00"
"AMAIA STEPS","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL CONDOMINIUM","114,450.00"
"AMAIA STEPS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","108,900.00"
"AMAIA STEPS","","ALANG-ALANG","MANDAUE","CEBU","PARKING SLOT","42,780.00"
"CASA MIRA TOWERS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","125,000.00"
"ALL OTHER CONDOMINIUMS","","ALANG-ALANG","MANDAUE","CEBU","COMMERCIAL CONDOMINIUM","116,050.00"
"ALL OTHER CONDOMINIUMS","","ALANG-ALANG","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","94,670.00"
"ALL OTHER CONDOMINIUMS","","ALANG-ALANG","MANDAUE","CEBU","PARKING SLOT","33,340.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","66,650.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","57,750.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","43,200.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","FROM BOUNDARY POINT OF BRGY. BANILAD TO M.C. BRIONES ST. (NATIONAL HIGHWAY)","BAKILID","MANDAUE","CEBU","INDUSTRIAL","57,750.00"
"A.S. FORTUNA ST (FORMERLY BAKILID-BANILAD ROAD)","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","25,730.00"
"BAKILID BARRIO ROAD","","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","19,400.00"
"BAKILID BARRIO ROAD","","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"BAKILID BARRIO ROAD","","BAKILID","MANDAUE","CEBU","INDUSTRIAL","17,050.00"
"BAKILID BARRIO ROAD","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","8,400.00"
"ALL OTHER STREETS","ALONG THE ROAD","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","18,900.00"
"ALL OTHER STREETS","ALONG THE ROAD","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"ALL OTHER STREETS","ALONG THE ROAD","BAKILID","MANDAUE","CEBU","INDUSTRIAL","16,800.00"
"ALL OTHER STREETS","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","8,400.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","FROM BOUNDARY POINT OF BRGY. TIPOLO TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","52,600.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","FROM BOUNDARY POINT OF BRGY. TIPOLO TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","42,000.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","FROM BOUNDARY POINT OF BRGY. TIPOLO TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","INDUSTRIAL","45,680.00"
"M.C BRIONES (CEBU NORTH ROAD-HIGHWAY)","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","22,260.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","28,150.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","24,360.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","23,630.00"
"L. JAYME ST.","FROM M.C. BRIONES ST. TO V. ALBAÑO ST.","BAKILID","MANDAUE","CEBU","INDUSTRIAL","24,360.00"
"L. JAYME ST.","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,070.00"
"L. JAYME ST.","FROM V. ALBAÑO ST. TO BOUNDARY OF CASUNTINGAN","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","23,420.00"
"L. JAYME ST.","FROM V. ALBAÑO ST. TO BOUNDARY OF CASUNTINGAN","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","18,900.00"
"L. JAYME ST.","FROM V. ALBAÑO ST. TO BOUNDARY OF CASUNTINGAN","BAKILID","MANDAUE","CEBU","INDUSTRIAL","20,900.00"
"L. JAYME ST.","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,760.00"
"V. ALBAÑO ST.","FROM A.S. FORTUNA ST., TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","24,120.00"
"V. ALBAÑO ST.","FROM A.S. FORTUNA ST., TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","21,000.00"
"V. ALBAÑO ST.","FROM A.S. FORTUNA ST., TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","INDUSTRIAL","23,100.00"
"V. ALBAÑO ST.","INTERIOR LOTS - CAR ACCESS","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,760.00"
"ANCIETO SENO ST.","FROM BOUNDARY CASUNTINGAN TO A.S. FORTUNA ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","24,120.00"
"ANCIETO SENO ST.","FROM BOUNDARY CASUNTINGAN TO A.S. FORTUNA ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","20,850.00"
"ANCIETO SENO ST.","FROM BOUNDARY CASUNTINGAN TO A.S. FORTUNA ST.","BAKILID","MANDAUE","CEBU","INDUSTRIAL","21,000.00"
"ANCIETO SENO ST.","INTERIOR LOTS - CAR ACCESS","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,760.00"
"BAKILID-CASUNTINGAN ROAD","FROM ANICETO SENO ST. TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","23,420.00"
"BAKILID-CASUNTINGAN ROAD","FROM ANICETO SENO ST. TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","130,750.00"
"BAKILID-CASUNTINGAN ROAD","FROM ANICETO SENO ST. TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","18,900.00"
"BAKILID-CASUNTINGAN ROAD","FROM ANICETO SENO ST. TO L. JAYME ST.","BAKILID","MANDAUE","CEBU","INDUSTRIAL","20,900.00"
"BAKILID-CASUNTINGAN ROAD","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,760.00"
"E.V. ESPINA ST. / SACRIS ROAD","FROM BOUNDARY OF TIPOLO TO A. SENO ST","BAKILID","MANDAUE","CEBU","COMMERCIAL REGULAR","27,930.00"
"E.V. ESPINA ST. / SACRIS ROAD","FROM BOUNDARY OF TIPOLO TO A. SENO ST","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","22,790.00"
"E.V. ESPINA ST. / SACRIS ROAD","FROM BOUNDARY OF TIPOLO TO A. SENO ST","BAKILID","MANDAUE","CEBU","INDUSTRIAL","24,150.00"
"E.V. ESPINA ST. / SACRIS ROAD","INTERIOR","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","14,910.00"
"ALBAÑO SUBDIVISION","","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","23,520.00"
"TYKA HOMES","","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","17,960.00"
"RAINBOW HOUSING","","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,070.00"
"ALL OTHER SUBDIVISIONS","","BAKILID","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"J TOWER RESIDENCES","","BAKILID","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","130,750.00"
"ANACLETO SENO STREET","HERNAN CORTES-CASUNTINGAN","BANILAD","MANDAUE","CEBU","COMMERCIAL REGULAR","24,150.00"
"ANACLETO SENO STREET","HERNAN CORTES-CASUNTINGAN","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,800.00"
"ANACLETO SENO STREET","HERNAN CORTES-CASUNTINGAN","BANILAD","MANDAUE","CEBU","INDUSTRIAL","21,000.00"
"ANACLETO SENO STREET","INTERIOR","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","11,450.00"
"A S FORTUNA STREET","ALBANO SUBD-HOLY FAMILY","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","63,000.00"
"A S FORTUNA STREET","ALBANO SUBD-HOLY FAMILY","BANILAD","MANDAUE","CEBU","COMMERCIAL REGULAR","63,000.00"
"A S FORTUNA STREET","ALBANO SUBD-HOLY FAMILY","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","37,170.00"
"A S FORTUNA STREET","ALBANO SUBD-HOLY FAMILY","BANILAD","MANDAUE","CEBU","INDUSTRIAL","52,500.00"
"A S FORTUNA STREET","INTERIOR","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,850.00"
"ELIAS ESPINA STREET","HERNAN CORTES-CEBU CITY","BANILAD","MANDAUE","CEBU","COMMERCIAL REGULAR","20,550.00"
"ELIAS ESPINA STREET","HERNAN CORTES-CEBU CITY","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","17,640.00"
"ELIAS ESPINA STREET","HERNAN CORTES-CEBU CITY","BANILAD","MANDAUE","CEBU","INDUSTRIAL","18,900.00"
"ELIAS ESPINA STREET","INTERIOR","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,080.00"
"H. CORTES STREET","TIPOLO-CABANCALAN","BANILAD","MANDAUE","CEBU","COMMERCIAL REGULAR","26,250.00"
"H. CORTES STREET","TIPOLO-CABANCALAN","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","20,790.00"
"H. CORTES STREET","TIPOLO-CABANCALAN","BANILAD","MANDAUE","CEBU","INDUSTRIAL","23,100.00"
"H. CORTES STREET","INTERIOR","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","13,130.00"
"M L QUEZON STREET","","BANILAD","MANDAUE","CEBU","INDUSTRIAL","12,600.00"
"M L QUEZON STREET","INTERIOR","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,500.00"
"P. REMEDIO STREET","A.S. FORTUNA-CABANGCALAN","BANILAD","MANDAUE","CEBU","COMMERCIAL REGULAR","17,250.00"
"P. REMEDIO STREET","A.S. FORTUNA-CABANGCALAN","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","14,700.00"
"P. REMEDIO STREET","A.S. FORTUNA-CABANGCALAN","BANILAD","MANDAUE","CEBU","PARKING SLOT","79,700.00"
"P. REMEDIO STREET","A.S. FORTUNA-CABANGCALAN","BANILAD","MANDAUE","CEBU","INDUSTRIAL","14,910.00"
"P. REMEDIO STREET","INTERIOR","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","9,450.00"
"TALAMBAN ACCESS, ADJACENT TO STO. NIÑO VILLAGE","","BANILAD","MANDAUE","CEBU","COMMERCIAL REGULAR","12,600.00"
"TALAMBAN ACCESS, ADJACENT TO STO. NIÑO VILLAGE","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","6,300.00"
"STO NINO VILLAGE","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","24,300.00"
"HOLY FAMILY VILLAGE","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,700.00"
"EL DORADO SUBD.","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","17,640.00"
"LORD OF MERCY SUBD.","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,750.00"
"GREEN PLAINS SUBD","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,600.00"
"MANGO GREEN SUBD.","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","17,330.00"
"ST. MARTIN SUBD.","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,380.00"
"ALBANO SUBD.","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","16,380.00"
"FLORIMER SUBD.","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","13,970.00"
"HIDDEN HOMES","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","13,020.00"
"SOLI GRANDE CONDOMIMIUM","","BANILAD","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","79,700.00"
"SOLI GRANDE CONDOMIMIUM","","BANILAD","MANDAUE","CEBU","PARKING SLOT","49,560.00"
"MIDPOINT RESIDENCES","","BANILAD","MANDAUE","CEBU","RESIDENTIAL REGULAR","122,230.00"
"MIDPOINT RESIDENCES","","BANILAD","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","122,230.00"
"MIDPOINT RESIDENCES","","BANILAD","MANDAUE","CEBU","PARKING SLOT","59,430.00"
"MIDORI RESIDENCES","","BANILAD","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","102,500.00"
"MIDORI RESIDENCES","","BANILAD","MANDAUE","CEBU","PARKING SLOT","59,430.00"
"ALL OTHER CONDOMINIUMS","","BANILAD","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","86,730.00"
"CHATSWOOD RESIDENCES","","BANILAD","MANDAUE","CEBU","RESIDENTIAL CONDOMINIUM","110,700.00"
"BASAK-DUNGOAN ROAD","CEBU NORTH RD-LABOGON","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","10,250.00"
"BASAK-DUNGOAN ROAD","CEBU NORTH RD-LABOGON","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","8,200.00"
"BASAK-DUNGOAN ROAD","CEBU NORTH RD-LABOGON","BASAK","MANDAUE","CEBU","INDUSTRIAL","9,230.00"
"BASAK-DUNGOAN ROAD","INTERIOR","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","5,130.00"
"BASAK-PAGSABUNGAN ROAD","CEBU NORTH RD-LABOGON","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","18,700.00"
"BASAK-PAGSABUNGAN ROAD","CEBU NORTH RD-LABOGON","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,250.00"
"BASAK-PAGSABUNGAN ROAD","CEBU NORTH RD-LABOGON","BASAK","MANDAUE","CEBU","INDUSTRIAL","15,380.00"
"BASAK-PAGSABUNGAN ROAD","INTERIOR","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","6,150.00"
"H ABELLANA STREET","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","18,220.00"
"H ABELLANA STREET","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","9,210.00"
"H ABELLANA STREET","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","40,750.00"
"H ABELLANA STREET","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION","BASAK","MANDAUE","CEBU","INDUSTRIAL","15,580.00"
"H ABELLANA STREET","INTERIOR-CAR ACCESS","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","7,380.00"
"H ABELLANA STREET EXTENSION","H. ABELLANA ST. TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","11,720.00"
"H ABELLANA STREET EXTENSION","H. ABELLANA ST. TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","7,040.00"
"H ABELLANA STREET EXTENSION","H. ABELLANA ST. TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","INDUSTRIAL","8,690.00"
"H ABELLANA STREET EXTENSION","INTERIOR-CAR ACCESS","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","5,500.00"
"JOSE RIZAL ST. (NATIONAL HIGHWAY)","E. LLENES ST. TO CORNER OF H. ABELLANA ST. (BASAK ELEMENTARY)","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","40,750.00"
"JOSE RIZAL ST. (NATIONAL HIGHWAY)","E. LLENES ST. TO CORNER OF H. ABELLANA ST. (BASAK ELEMENTARY)","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","18,100.00"
"JOSE RIZAL ST. (NATIONAL HIGHWAY)","E. LLENES ST. TO CORNER OF H. ABELLANA ST. (BASAK ELEMENTARY)","BASAK","MANDAUE","CEBU","INDUSTRIAL","29,130.00"
"JOSE RIZAL ST. (NATIONAL HIGHWAY)","INTERIOR-CAR ACCESS","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","14,220.00"
"FATIMA ROAD","CEBU NORTH ROAD-LABOGON","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","25,630.00"
"FATIMA ROAD","CEBU NORTH ROAD-LABOGON","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","15,380.00"
"FATIMA ROAD","CEBU NORTH ROAD-LABOGON","BASAK","MANDAUE","CEBU","INDUSTRIAL","23,070.00"
"FATIMA ROAD","INTERIOR","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","6,150.00"
"P. SANCHEZ ST. (PAGSABUNGAN ROAD)","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","18,900.00"
"P. SANCHEZ ST. (PAGSABUNGAN ROAD)","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,820.00"
"P. SANCHEZ ST. (PAGSABUNGAN ROAD)","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","18,900.00"
"P. SANCHEZ ST. (PAGSABUNGAN ROAD)","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","INDUSTRIAL","15,700.00"
"P. SANCHEZ ST. (PAGSABUNGAN ROAD)","INTERIOR-CAR ACCESS","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","6,570.00"
"PALM HILLS ROAD","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","16,950.00"
"PALM HILLS ROAD","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","INDUSTRIAL","15,440.00"
"PALM HILLS ROAD","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","12,650.00"
"PALM HILLS ROAD","INTERIOR-CAR ACCESS","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","9,110.00"
"J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN)","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","18,900.00"
"J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN)","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION","BASAK","MANDAUE","CEBU","INDUSTRIAL","15,750.00"
"J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN)","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","10,500.00"
"J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN)","INTERIOR-CAR ACCESS","BASAK","MANDAUE","CEBU","RESIDENTIAL REGULAR","7,290.00"
"E. LLENES ST.","JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BARANGAY LABOGON","BASAK","MANDAUE","CEBU","COMMERCIAL REGULAR","16,500.00"
